Country,Content,Match_Week,Link,List1_Title,List2_Title
Denmark,Highlights,All,https://superliga.dk/,Runde: Alle,Link til Superliga highlights fra alle runder
Denmark,Goals,NA,NA,NA,NA
England,Highlights,All,https://www.premierleague.com/en/matches/premier-league/2026-27/matchweek-1,Runde: Alle,Link til Premier League highlights fra alle runder
England,Goals,1,https://www.youtube.com/watch?v=SxiMucn6hTc,Runde: 1,Alle Premier Legue mål fra runde 1
England,Goals,2,https://www.youtube.com/watch?v=73hxMlRpw2w,Runde: 2,Alle Premier Legue mål fra runde 2
Spain,Highlights,NA,NA,NA,NA
Spain,Goals,3,https://www.youtube.com/watch?v=MiYsXQillDs,Runde: 3,Alle LA Liga mål fra runde 3
Germany,Highlights,All,https://www.bundesliga.com/en/bundesliga/matchday/2026-2027/1,Runde: Alle,Link til Bundesliga highlights fra alle runder
Germany,Goals,NA,NA,NA,NA
Italy,Highlights,All,https://www.legaseriea.it/coppa-italia,Runde: Alle,Link til Serie A highlights fra alle runder
Italy,Goals,NA,NA,NA,NA
France,Highlights,All,https://ligue1.com/en/videos,Runde: Alle,Link til League 1 highlights fra alle runder
France,Goals,All,https://ligue1.com/en/videos,Runde: Alle,Alle League 1 mål
